ThirdSystemId,ThirdSystemName,Memo,ChangeTradeUnitFlag,ProcessTime,FutMultiAttributRegFlag,NextInternalAcctId,PrevTradeDate,TradeDate,ReckoningFlag,DataStatisticsFlag,NextReckoningDate,ReckoningIntervalDays,OrderSeqnPrefix,CloseTimeConfig,OpenTimeConfig,IsTradeCalcuInterestFlag,CreditDetailReturnFlag,CreditStkAcctFlag,OptionAssureAcctAttribute,SupportAttributeList,TradeControlTime,publicParaValue,NextDayOrderControlTime,BatchOrderPackNum,IsReckoningCalcuInterestFlag,NightTradeBeginTime,NightTradeEndTime,ThirdSysInterface,RightsType,SuportFIX,ThirdReckoningType,ReturnCreditCashType,CreditOrderReturnFlag,AppID,AuthCode,CollectId,NoOrderFlag,ArbRedPrivilegeSet
2305,对接CTS,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,22:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2305,0,N,1,0,0,,,CTP,0,
2306,对接cts-连交易所,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2306,0,N,1,0,0,,,CTP,0,
2401,OTCD,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2401,0,N,3,0,0,,,,0,
2402,金仕达,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,00:00,,2402,0,N,1,0,0,,,,0,
2403,顶点,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,00:00,,2403,0,N,1,0,0,,,,0,
2404,恒生O32,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,00:00,,2404,0,N,1,0,0,,,,0,
2405,恒生IS,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,00:00,,2405,0,N,1,0,0,,,,0,
2406,恒生UFT,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=1^HKStkValue=1^HKCostPriceCurrency=1^HKPnlCurrency=1^IsTradeCreditShareFeeFlag=1^PledgeReturnFlag=1^RealtimePNLFlag=0^FutureArbiFlag=0^CrossMarketHKT2CashUsedflag=N^DebtAutoPaidFlag=Y^MultiContractPayFlag=N^ReturnCashFlag=N^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=1^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=1^isAddUndueRepurchaseToStkValue=Y^HKCostPriceSyncFlag=1,,50,0,,,2406,0,N,1,0,0,,,,0,
2407,华泰外挂,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=1^HKStkValue=1^HKCostPriceCurrency=1^HKPnlCurrency=1^IsTradeCreditShareFeeFlag=1^PledgeReturnFlag=1^RealtimePNLFlag=0^FutureArbiFlag=0^CrossMarketHKT2CashUsedflag=N^DebtAutoPaidFlag=Y^MultiContractPayFlag=N^ReturnCashFlag=N^ReckoningRequestTimeOut=50^CreditAssureTransInFlag=1^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=1^isAddUndueRepurchaseToStkValue=Y^HKCostPriceSyncFlag=1,,50,0,,,2407,0,N,1,0,0,,,,0,
2408,中金财富,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=N^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2408,0,N,1,0,0,,,,0,
