optPosId,optPosFlag,productNum,productAcctNum,PortfolioNum,queryPermitFlag,operPermitFlag,checkPermitFlag,approvalPermitFlag,PermitFlag
00000000,0,7,536,-1,0,0,1,0,1
00000000,0,7,536,573,0,0,1,0,1
00000000,0,7,537,-1,0,0,1,0,1
00000000,0,7,537,574,0,0,1,0,1
00000000,0,8,8,-1,0,0,1,0,1
00000000,0,8,8,9,0,0,1,0,1
00000000,0,9,9,-1,0,0,1,0,1
00000000,0,9,9,10,0,0,1,0,1
00000000,0,9,20,-1,0,0,1,0,1
00000000,0,9,20,21,0,0,1,0,1
00000000,0,10,10,-1,0,0,1,0,1
00000000,0,10,10,11,0,0,1,0,1
00000000,0,11,12,-1,0,0,1,0,1
00000000,0,11,12,13,0,0,1,0,1
00000000,0,11,13,-1,0,0,1,0,1
00000000,0,11,13,14,0,0,1,0,1
00000000,0,11,14,-1,0,0,1,0,1
00000000,0,11,14,15,0,0,1,0,1
00000000,0,11,310,-1,0,0,1,0,1
00000000,0,11,310,344,0,0,1,0,1
00000000,0,12,15,-1,0,0,1,0,1
00000000,0,12,15,16,0,0,1,0,1
00000000,0,14,18,-1,0,0,1,0,1
00000000,0,14,18,19,0,0,1,0,1
00000000,0,15,19,-1,0,0,1,0,1
00000000,0,15,19,20,0,0,1,0,1
00000000,0,15,72,-1,0,0,1,0,1
00000000,0,15,72,84,0,0,1,0,1
00000000,0,15,198,-1,0,0,1,0,1
00000000,0,15,198,217,0,0,1,0,1
00000000,0,16,21,-1,0,0,1,0,1
00000000,0,16,21,22,0,0,1,0,1
00000000,0,17,22,-1,0,0,1,0,1
00000000,0,17,22,26,0,0,1,0,1
00000000,0,18,23,-1,0,0,1,0,1
00000000,0,19,24,-1,0,0,1,0,1
00000000,0,19,24,25,0,0,1,0,1
00000000,0,20,25,-1,0,0,1,0,1
00000000,0,20,25,27,0,0,1,0,1
00000000,0,21,26,-1,0,0,1,0,1
00000000,0,21,26,28,0,0,1,0,1
00000000,0,22,27,-1,0,0,1,0,1
00000000,0,22,27,29,0,0,1,0,1
00000000,0,23,28,-1,0,0,1,0,1
00000000,0,23,28,30,0,0,1,0,1
00000000,0,23,79,-1,0,0,1,0,1
